YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,CONFIRMED_UNITS,GRAFFITI,SCORE,AGE
2019,1965,PRIVATE,30,5,73,54
2019,1960,PRIVATE,37,5,62,59
2019,1959,PRIVATE,47,5,76,60
2019,1954,PRIVATE,71,5,88,65
2019,1953,PRIVATE,44,5,85,66
2019,1989,TCHC,15,5,80,30
2019,1962,PRIVATE,52,5,86,57
2019,1965,PRIVATE,12,5,77,54
2019,1995,SOCIAL HOUSING,17,5,79,24
2019,1971,PRIVATE,303,5,89,48
2019,1970,SOCIAL HOUSING,49,4,64,49
2019,1966,PRIVATE,305,3,47,53
2019,1958,PRIVATE,67,5,87,61
2019,1959,PRIVATE,66,5,67,60
2019,1953,PRIVATE,46,4,64,66
2019,1959,PRIVATE,43,5,82,60
2019,1959,PRIVATE,84,5,63,60
2019,1988,TCHC,109,5,86,31
2019,1920,PRIVATE,18,5,51,99
2019,1968,PRIVATE,304,4,78,51
2019,1927,PRIVATE,50,5,76,92
2019,1960,PRIVATE,34,5,75,59
2019,1940,SOCIAL HOUSING,20,5,78,79
2019,1910,PRIVATE,35,5,76,109
2019,1948,TCHC,48,3,56,71
2019,1969,TCHC,327,1,49,50
2019,1969,TCHC,327,1,49,50
2019,1918,SOCIAL HOUSING,20,3,85,101
2019,1927,PRIVATE,45,5,89,92
2019,1928,PRIVATE,45,5,75,91
2019,1965,PRIVATE,102,5,84,54
2019,1972,TCHC,469,4,68,47
2019,1930,PRIVATE,15,5,84,89
2019,1920,PRIVATE,11,5,81,99
2019,2006,TCHC,54,5,64,13
2019,1980,TCHC,72,4,58,39
2019,1980,TCHC,12,4,65,39
2019,1928,PRIVATE,35,5,77,91
2019,1960,PRIVATE,77,5,69,59
2019,1940,PRIVATE,27,5,75,79
2019,2005,PRIVATE,388,5,98,14
2019,1969,PRIVATE,381,4,79,50
2019,1965,PRIVATE,82,5,71,54
2019,2016,PRIVATE,411,5,92,3
2019,1928,PRIVATE,48,5,86,91
2019,1915,PRIVATE,26,5,73,104
2019,1900,SOCIAL HOUSING,50,5,91,119
2019,1960,PRIVATE,76,5,72,59
2019,2009,SOCIAL HOUSING,98,5,88,10
2019,1968,PRIVATE,82,5,89,51
2019,1959,PRIVATE,76,5,79,60
2019,1959,PRIVATE,262,5,78,60
2019,1960,PRIVATE,79,5,73,59
2019,1960,PRIVATE,56,4,86,59
2019,1960,PRIVATE,35,5,63,59
2019,2006,TCHC,47,5,64,13
2019,1948,TCHC,48,5,67,71
2019,1986,TCHC,132,5,76,33
2019,2007,PRIVATE,188,5,87,12
2019,2012,SOCIAL HOUSING,32,3,62,7
2019,1991,SOCIAL HOUSING,37,5,80,28
2019,2005,PRIVATE,293,5,95,14
2019,1956,PRIVATE,11,5,83,63
2019,1926,PRIVATE,30,4,86,93
2019,1968,PRIVATE,554,4,72,51
2019,1969,PRIVATE,571,3,76,50
2019,1963,PRIVATE,76,4,79,56
2019,1965,PRIVATE,88,3,63,54
2019,1960,PRIVATE,71,5,82,59
2019,1960,PRIVATE,61,5,82,59
2019,1970,TCHC,340,1,61,49
2019,1966,PRIVATE,118,5,95,53
2019,1970,TCHC,719,1,56,49
2019,1963,PRIVATE,244,5,91,56
2019,1963,PRIVATE,217,5,91,56
2019,1963,PRIVATE,244,5,90,56
2019,1983,SOCIAL HOUSING,77,5,78,36
2019,2008,SOCIAL HOUSING,112,5,85,11
2019,1975,TCHC,200,1,60,44
2019,1975,TCHC,102,2,61,44
2019,1809,PRIVATE,10,5,91,210
2019,1838,PRIVATE,10,5,94,181
2019,1948,TCHC,71,3,59,71
2019,1969,TCHC,301,1,60,50
2019,1954,PRIVATE,71,5,70,65
2019,1967,PRIVATE,141,5,85,52
2019,1993,TCHC,155,5,83,26
2019,1968,PRIVATE,145,5,89,51
2019,1927,PRIVATE,19,5,69,92
2019,1915,PRIVATE,20,5,73,104
2019,1980,TCHC,167,5,81,39
2019,2010,PRIVATE,141,5,97,9
2019,1963,PRIVATE,125,5,86,56
2019,1964,PRIVATE,228,5,81,55
2019,1964,PRIVATE,83,5,80,55
2019,1963,PRIVATE,91,5,79,56
2019,1965,PRIVATE,186,5,83,54
2019,1969,PRIVATE,93,5,79,50
2019,1965,PRIVATE,148,5,85,54
2019,1955,PRIVATE,80,5,94,64
2019,1955,PRIVATE,47,5,92,64
2019,1955,PRIVATE,50,5,88,64
2019,1959,PRIVATE,59,5,80,60
2019,1981,TCHC,266,5,77,38
2019,1900,SOCIAL HOUSING,60,5,79,119
2019,1959,PRIVATE,35,5,89,60
2019,1959,PRIVATE,35,5,87,60
2019,1959,PRIVATE,37,5,88,60
2019,1929,PRIVATE,72,5,76,90
2019,1920,PRIVATE,15,5,67,99
2019,1973,TCHC,301,3,64,46
2019,1978,TCHC,174,2,62,41
2019,1966,PRIVATE,575,5,91,53
2019,2013,PRIVATE,177,5,100,6
2019,1995,SOCIAL HOUSING,138,5,76,24
2019,1967,PRIVATE,59,5,76,52
2019,1965,PRIVATE,95,5,92,54
2019,1969,PRIVATE,100,5,91,50
2019,1964,PRIVATE,180,5,92,55
2019,1967,PRIVATE,25,5,91,52
2019,1973,PRIVATE,266,5,92,46
2019,1970,PRIVATE,483,5,90,49
2019,1970,PRIVATE,371,5,89,49
2019,1970,PRIVATE,313,5,88,49
2019,1969,PRIVATE,401,5,86,50
2019,1996,PRIVATE,102,5,84,23
2019,1993,SOCIAL HOUSING,42,5,82,26
2019,1957,PRIVATE,118,5,95,62
2019,1956,PRIVATE,118,5,92,63
2019,1957,PRIVATE,60,5,96,62
2019,1952,PRIVATE,63,5,95,67
2019,1955,PRIVATE,57,5,88,64
2019,1955,PRIVATE,62,5,86,64
2019,1966,PRIVATE,263,5,91,53
2019,1965,PRIVATE,286,5,82,54
2019,1968,PRIVATE,48,5,81,51
2019,1968,PRIVATE,366,5,91,51
2019,1968,PRIVATE,209,5,83,51
2019,1960,PRIVATE,52,5,84,59
2019,1960,PRIVATE,48,5,84,59
2019,1950,PRIVATE,60,5,71,69
2019,1975,PRIVATE,12,5,75,44
2019,1975,PRIVATE,180,5,75,44
2019,1975,PRIVATE,12,5,75,44
2019,1975,PRIVATE,12,5,75,44
2019,1975,PRIVATE,12,5,75,44
2019,1970,TCHC,128,5,84,49
2019,1960,PRIVATE,74,5,86,59
2019,1959,PRIVATE,49,5,81,60
2019,1960,PRIVATE,49,5,81,59
2019,1931,PRIVATE,31,5,74,88
2019,1960,PRIVATE,18,5,71,59
2019,1986,SOCIAL HOUSING,149,5,92,33
2019,1924,PRIVATE,20,4,71,95
2019,1930,PRIVATE,13,5,87,89
2019,1979,PRIVATE,249,5,83,40
2019,1956,PRIVATE,13,3,44,63
2019,1992,SOCIAL HOUSING,25,5,83,27
2019,1930,PRIVATE,28,4,79,89
2019,1930,PRIVATE,32,4,79,89
2019,1972,TCHC,419,5,68,47
2019,1940,PRIVATE,25,5,67,79
2019,1926,PRIVATE,36,5,78,93
2019,1926,PRIVATE,36,4,73,93
2019,1926,PRIVATE,36,4,71,93
2019,1950,PRIVATE,33,4,57,69
2019,1965,PRIVATE,119,4,80,54
2019,1992,SOCIAL HOUSING,133,5,90,27
2019,1967,PRIVATE,174,5,81,52
2019,1957,PRIVATE,157,5,89,62
2019,1957,PRIVATE,157,5,87,62
2019,1962,PRIVATE,122,5,75,57
2019,1955,PRIVATE,42,5,78,64
2019,1960,PRIVATE,48,5,81,59
2019,1966,PRIVATE,188,5,89,53
2019,1966,PRIVATE,174,5,87,53
2019,1927,PRIVATE,15,5,78,92
2019,1965,PRIVATE,34,5,71,54
2019,1967,PRIVATE,175,5,81,52
2019,1930,PRIVATE,16,5,71,89
2019,1930,PRIVATE,12,5,69,89
2019,1967,PRIVATE,101,5,75,52
2019,1960,PRIVATE,16,4,63,59
2019,1967,PRIVATE,230,5,79,52
2019,1970,TCHC,15,4,55,49
2019,1970,TCHC,20,4,52,49
2019,1970,TCHC,238,4,73,49
2019,1970,PRIVATE,55,5,71,49
2019,1964,PRIVATE,90,5,89,55
2019,1970,PRIVATE,88,5,70,49
2019,1925,PRIVATE,14,5,77,94
2019,1927,PRIVATE,19,5,79,92
2019,1930,PRIVATE,20,5,86,89
2019,1972,TCHC,99,5,71,47
2019,1972,PRIVATE,165,5,85,47
2019,1960,PRIVATE,54,5,82,59
2019,1967,PRIVATE,141,5,85,52
2019,1967,PRIVATE,220,5,83,52
2019,1970,PRIVATE,38,5,89,49
2019,1969,TCHC,213,4,84,50
2019,1975,PRIVATE,114,5,83,44
2019,1977,PRIVATE,254,3,75,42
2019,1961,PRIVATE,107,5,81,58
2019,1930,PRIVATE,24,5,84,89
2019,1959,PRIVATE,87,5,77,60
2019,1934,PRIVATE,46,5,69,85
2019,1957,PRIVATE,152,5,79,62
2019,1969,PRIVATE,229,4,89,50
2019,1957,PRIVATE,235,5,87,62
2019,1957,PRIVATE,235,5,91,62
2019,1955,PRIVATE,19,3,59,64
2019,1937,PRIVATE,18,3,68,82
2019,1964,PRIVATE,133,5,80,55
2019,1965,PRIVATE,236,3,76,54
2019,1970,TCHC,31,3,65,49
2019,1970,TCHC,33,4,69,49
2019,1929,SOCIAL HOUSING,29,5,61,90
2019,1964,PRIVATE,547,5,85,55
2019,1938,PRIVATE,32,5,67,81
2019,1956,PRIVATE,117,4,76,63
2019,1991,SOCIAL HOUSING,106,5,79,28
2019,1975,PRIVATE,12,5,75,44
2019,1963,PRIVATE,79,5,78,56
2019,1960,PRIVATE,171,4,76,59
2019,1930,PRIVATE,46,3,71,89
2019,1934,PRIVATE,24,5,77,85
2019,2014,PRIVATE,336,5,93,5
2019,2015,PRIVATE,251,5,93,4
2019,1930,PRIVATE,40,5,83,89
2019,1962,PRIVATE,60,5,83,57
2019,1962,PRIVATE,70,5,80,57
2019,1960,PRIVATE,112,5,83,59
2019,1970,TCHC,128,5,82,49
2019,1970,TCHC,186,4,80,49
2019,1971,PRIVATE,188,3,84,48
2019,1979,PRIVATE,265,5,91,40
2019,1974,PRIVATE,167,5,92,45
2019,1974,PRIVATE,175,5,88,45
2019,1965,PRIVATE,47,5,77,54
2019,1952,PRIVATE,41,5,76,67
2019,1951,PRIVATE,10,5,76,68
2019,1965,PRIVATE,40,5,86,54
2019,1960,PRIVATE,136,5,92,59
2019,1980,PRIVATE,94,5,85,39
2019,1974,PRIVATE,175,5,94,45
2019,1974,PRIVATE,167,5,96,45
2019,1960,PRIVATE,62,5,71,59
2019,1939,PRIVATE,34,5,68,80
2019,1954,PRIVATE,73,5,78,65
2019,1930,PRIVATE,25,5,79,89
2019,1950,PRIVATE,39,5,84,69
2019,1941,PRIVATE,52,4,75,78
2019,1951,PRIVATE,75,5,76,68
2019,1965,PRIVATE,89,5,80,54
2019,1950,PRIVATE,34,5,86,69
2019,1969,PRIVATE,163,5,76,50
2019,1969,PRIVATE,163,5,82,50
2019,1979,PRIVATE,200,5,96,40
2019,1969,PRIVATE,216,5,87,50
2019,1969,PRIVATE,245,5,95,50
2019,1960,PRIVATE,48,3,79,59
2019,1973,PRIVATE,165,5,75,46
2019,1972,PRIVATE,265,5,84,47
2019,1971,TCHC,145,5,79,48
2019,1982,SOCIAL HOUSING,150,5,88,37
2019,1967,PRIVATE,295,5,85,52
2019,1969,PRIVATE,36,5,74,50
2019,1979,PRIVATE,208,5,92,40
2019,1930,PRIVATE,15,5,76,89
2019,1974,PRIVATE,196,5,87,45
2019,1970,PRIVATE,195,5,83,49
2019,1971,PRIVATE,195,5,87,48
2019,1974,PRIVATE,196,5,95,45
2019,1974,PRIVATE,197,5,87,45
2019,1958,PRIVATE,75,5,79,61
2019,1981,PRIVATE,147,5,87,38
2019,1977,PRIVATE,250,5,94,42
2019,1969,TCHC,237,4,69,50
2019,1967,PRIVATE,74,5,84,52
2019,1915,PRIVATE,21,5,77,104
2019,1971,PRIVATE,220,5,82,48
2019,1920,PRIVATE,24,5,83,99
2019,1982,SOCIAL HOUSING,247,5,89,37
2019,1940,PRIVATE,33,4,74,79
2019,1980,PRIVATE,146,5,83,39
2019,1950,PRIVATE,31,5,82,69
2019,1994,SOCIAL HOUSING,145,5,87,25
2019,1957,PRIVATE,66,5,87,62
2019,1957,PRIVATE,59,5,87,62
2019,1950,PRIVATE,61,5,87,69
2019,1955,PRIVATE,28,5,87,64
2019,1986,SOCIAL HOUSING,174,4,78,33
2019,1955,PRIVATE,22,2,69,64
2019,1974,PRIVATE,200,5,87,45
2019,1958,PRIVATE,25,5,71,61
2019,1940,PRIVATE,33,5,81,79
2019,1927,PRIVATE,37,5,79,92
2019,1965,PRIVATE,260,5,82,54
2019,1968,PRIVATE,210,5,88,51
2019,1968,PRIVATE,214,5,87,51
2019,1960,PRIVATE,27,4,72,59
2019,1971,TCHC,203,4,74,48
2019,1971,TCHC,201,5,72,48
2019,1986,PRIVATE,25,5,78,33
2019,1971,PRIVATE,35,5,83,48
2019,1955,PRIVATE,24,5,83,64
2019,1960,PRIVATE,84,5,81,59
2019,1969,PRIVATE,267,5,82,50
2019,1967,PRIVATE,411,5,80,52
2019,1965,PRIVATE,56,5,82,54
2019,1967,PRIVATE,185,4,71,52
2019,1970,PRIVATE,307,5,91,49
2019,1970,PRIVATE,219,5,84,49
2019,1968,PRIVATE,52,5,83,51
2019,1970,PRIVATE,120,5,92,49
2019,1979,PRIVATE,238,5,89,40
2019,1979,PRIVATE,238,5,89,40
2019,1968,PRIVATE,224,5,84,51
2019,1974,PRIVATE,281,5,93,45
2019,1978,PRIVATE,133,5,87,41
2019,1978,PRIVATE,88,5,89,41
2019,1978,PRIVATE,153,5,87,41
2019,1959,PRIVATE,62,4,79,60
2019,1972,SOCIAL HOUSING,103,5,84,47
2019,2007,PRIVATE,55,5,82,12
2019,1957,PRIVATE,57,5,74,62
2019,1968,PRIVATE,193,5,79,51
2019,1968,PRIVATE,149,5,85,51
2019,1994,SOCIAL HOUSING,82,5,82,25
2019,2019,SOCIAL HOUSING,30,4,61,0
2019,1965,PRIVATE,207,5,79,54
2019,1955,PRIVATE,99,5,92,64
2019,1957,PRIVATE,111,4,72,62
2019,1957,PRIVATE,96,4,72,62
2019,1964,PRIVATE,110,5,81,55
2019,1960,PRIVATE,123,5,87,59
2019,1967,PRIVATE,149,5,85,52
2019,1965,PRIVATE,115,5,67,54
2019,1930,PRIVATE,24,2,45,89
2019,1907,PRIVATE,17,5,85,112
2019,1900,PRIVATE,17,5,45,119
2019,1960,PRIVATE,63,4,70,59
2019,1920,PRIVATE,12,5,68,99
2019,1982,TCHC,61,5,73,37
2019,1992,PRIVATE,17,5,81,27
2019,1930,PRIVATE,24,5,64,89
2019,1971,PRIVATE,186,5,88,48
2019,1963,PRIVATE,157,5,81,56
2019,1919,PRIVATE,24,5,68,100
2019,1980,TCHC,326,4,76,39
2019,1972,PRIVATE,190,5,88,47
2019,1970,TCHC,221,5,71,49
2019,1966,PRIVATE,174,5,82,53
2019,1960,PRIVATE,71,5,72,59
2019,1970,TCHC,224,5,70,49
2019,2011,SOCIAL HOUSING,50,5,97,8
2019,1973,PRIVATE,220,5,95,46
2019,1985,TCHC,101,5,86,34
2019,1970,TCHC,22,5,76,49
2019,1960,PRIVATE,130,3,75,59
2019,1960,PRIVATE,58,5,89,59
2019,1956,PRIVATE,82,5,92,63
2019,1910,PRIVATE,16,4,55,109
2019,1997,SOCIAL HOUSING,128,5,80,22
2019,1968,PRIVATE,48,5,71,51
2019,1964,PRIVATE,57,5,84,55
2019,1969,PRIVATE,131,5,80,50
2019,1926,PRIVATE,16,5,77,93
2019,1968,PRIVATE,105,5,73,51
2019,1969,PRIVATE,64,5,86,50
2019,1965,PRIVATE,196,5,84,54
2019,1965,PRIVATE,196,5,84,54
2019,1965,PRIVATE,76,5,78,54
2019,1920,PRIVATE,24,5,74,99
2019,1920,PRIVATE,25,5,75,99
2019,1965,PRIVATE,75,4,75,54
2019,2009,PRIVATE,91,5,81,10
2019,1969,PRIVATE,216,5,80,50
2019,1966,PRIVATE,82,5,73,53
2019,1958,PRIVATE,114,5,89,61
2019,1960,PRIVATE,95,5,87,59
2019,2013,PRIVATE,463,5,100,6
2019,1967,PRIVATE,138,5,87,52
2019,1969,PRIVATE,67,5,74,50
2019,1967,PRIVATE,48,5,71,52
2019,1959,PRIVATE,124,5,87,60
2019,1980,PRIVATE,60,5,83,39
2019,1919,PRIVATE,18,3,73,100
2019,1966,PRIVATE,68,5,72,53
2019,1991,TCHC,53,5,80,28
2019,2005,PRIVATE,232,5,91,14
2019,1991,SOCIAL HOUSING,46,4,63,28
2019,1960,PRIVATE,71,5,84,59
2019,1955,PRIVATE,104,5,76,64
2019,1970,PRIVATE,525,4,76,49
2019,2010,PRIVATE,291,5,81,9
2019,2005,PRIVATE,116,5,74,14
2019,1991,TCHC,139,2,76,28
2019,1987,PRIVATE,228,4,88,32
2019,1987,PRIVATE,289,5,83,32
2019,1955,PRIVATE,29,5,78,64
2019,1955,PRIVATE,22,5,76,64
2019,1968,PRIVATE,151,5,72,51
2019,1972,PRIVATE,110,5,86,47
2019,1994,SOCIAL HOUSING,158,5,84,25
2019,1968,PRIVATE,142,5,84,51
2019,1968,PRIVATE,33,5,85,51
2019,2013,PRIVATE,179,5,81,6
2019,1983,TCHC,64,5,75,36
2019,1913,PRIVATE,12,4,68,106
2019,1960,PRIVATE,72,5,83,59
2019,1965,PRIVATE,130,5,81,54
2019,1994,SOCIAL HOUSING,18,4,64,25
2019,1965,PRIVATE,20,5,88,54
2019,1960,PRIVATE,18,5,82,59
2019,1960,PRIVATE,70,4,89,59
2019,1956,PRIVATE,52,5,87,63
2019,1960,PRIVATE,37,5,83,59
2019,1960,PRIVATE,37,5,83,59
2019,1967,PRIVATE,90,5,69,52
2019,1982,SOCIAL HOUSING,18,5,75,37
2019,1984,PRIVATE,139,4,74,35
2019,1967,PRIVATE,65,4,80,52
2019,1971,TCHC,184,4,81,48
2019,1971,TCHC,196,4,78,48
2019,1979,TCHC,180,3,80,40
2019,1986,SOCIAL HOUSING,97,5,85,33
2019,1921,PRIVATE,16,4,74,98
2019,1969,PRIVATE,33,5,85,50
2019,1961,PRIVATE,62,5,80,58
2019,1992,TCHC,26,5,80,27
2019,1929,PRIVATE,23,3,83,90
2019,1920,PRIVATE,16,5,84,99
2019,1989,PRIVATE,14,5,83,30
2019,1960,PRIVATE,104,5,90,59
2019,1982,PRIVATE,256,5,82,37
2019,1969,TCHC,40,3,62,50
2019,2011,SOCIAL HOUSING,190,4,77,8
2019,1964,PRIVATE,72,5,88,55
2019,1964,PRIVATE,71,5,88,55
2019,1962,PRIVATE,69,5,73,57
2019,1960,PRIVATE,104,5,88,59
2019,1987,SOCIAL HOUSING,150,3,78,32
2019,1957,PRIVATE,34,5,87,62
2019,1961,PRIVATE,82,5,80,58
2019,1965,PRIVATE,32,5,84,54
2019,1956,PRIVATE,29,5,71,63
2019,1984,SOCIAL HOUSING,200,5,81,35
2019,1967,SOCIAL HOUSING,112,5,71,52
2019,1950,PRIVATE,12,4,64,69
2019,1997,SOCIAL HOUSING,144,5,73,22
2019,1992,SOCIAL HOUSING,10,4,69,27
2019,1961,PRIVATE,77,5,78,58
2019,1968,TCHC,257,4,74,51
2019,1956,PRIVATE,12,5,76,63
2019,2003,PRIVATE,103,5,89,16
2019,1964,PRIVATE,210,5,93,55
2019,1955,PRIVATE,26,5,85,64
2019,1968,TCHC,352,5,56,51
2019,1957,PRIVATE,12,5,78,62
2019,1992,PRIVATE,138,5,84,27
2019,2003,SOCIAL HOUSING,20,4,68,16
2019,1960,PRIVATE,43,5,81,59
2019,1961,PRIVATE,39,5,81,58
2019,1962,PRIVATE,36,5,75,57
2019,1978,SOCIAL HOUSING,89,5,82,41
2019,1974,TCHC,48,4,71,45
2019,1968,PRIVATE,226,5,80,51
2019,1969,PRIVATE,267,5,78,50
2019,1955,PRIVATE,33,5,85,64
2019,1976,PRIVATE,327,5,87,43
2019,1955,PRIVATE,30,5,81,64
2019,1955,PRIVATE,26,5,81,64
2019,1993,SOCIAL HOUSING,72,5,95,26
2019,1955,PRIVATE,30,5,80,64
2019,1965,PRIVATE,104,5,80,54
2019,1958,PRIVATE,138,5,71,61
2019,1988,SOCIAL HOUSING,125,5,77,31
2019,1952,PRIVATE,109,5,77,67
2019,1932,PRIVATE,35,3,63,87
2019,1953,PRIVATE,65,5,75,66
2019,1962,PRIVATE,138,5,91,57
2019,1968,PRIVATE,60,5,62,51
2019,1956,PRIVATE,85,5,72,63
2019,1955,PRIVATE,26,5,68,64
2019,1956,PRIVATE,30,5,81,63
2019,1955,PRIVATE,36,5,79,64
2019,1956,PRIVATE,38,5,89,63
2019,1955,PRIVATE,36,5,87,64
2019,1955,PRIVATE,30,5,79,64
2019,1941,TCHC,57,5,69,78
2019,1941,TCHC,36,4,66,78
2019,1941,TCHC,40,5,64,78
2019,2006,PRIVATE,171,5,79,13
2019,2008,PRIVATE,74,5,79,11
2019,1920,PRIVATE,10,3,61,99
2019,1952,PRIVATE,87,5,81,67
2019,1968,PRIVATE,172,5,82,51
2019,1967,PRIVATE,229,5,65,52
2019,1964,PRIVATE,67,3,52,55
2019,1954,PRIVATE,54,4,81,65
2019,1960,PRIVATE,59,5,74,59
2019,1958,PRIVATE,35,5,75,61
2019,1959,PRIVATE,36,5,76,60
2019,1958,PRIVATE,43,5,82,61
2019,1958,PRIVATE,43,5,82,61
2019,1958,PRIVATE,43,5,84,61
2019,1962,PRIVATE,85,5,84,57
2019,1963,PRIVATE,100,5,87,56
2019,1963,PRIVATE,100,5,87,56
2019,1955,PRIVATE,25,5,80,64
2019,1993,SOCIAL HOUSING,44,5,75,26
2019,1974,PRIVATE,458,5,88,45
2019,1965,PRIVATE,138,5,73,54
2019,1960,PRIVATE,78,5,88,59
2019,1963,PRIVATE,155,5,93,56
2019,1967,PRIVATE,356,5,79,52
2019,2008,PRIVATE,19,5,75,11
2019,1971,PRIVATE,113,5,72,48
2019,1950,PRIVATE,11,5,91,69
2019,2005,PRIVATE,89,5,93,14
2019,1957,TCHC,31,4,66,62
2019,1957,TCHC,30,3,56,62
2019,1957,TCHC,30,3,56,62
2019,1967,PRIVATE,231,4,69,52
2019,1951,PRIVATE,12,5,75,68
2019,1981,SOCIAL HOUSING,53,5,90,38
2019,1967,PRIVATE,315,4,71,52
2019,1962,PRIVATE,114,5,74,57
2019,1976,PRIVATE,92,5,91,43
2019,1967,PRIVATE,100,5,84,52
2019,1957,TCHC,30,2,53,62
2019,1957,TCHC,30,3,58,62
2019,1967,PRIVATE,142,4,68,52
2019,1957,PRIVATE,26,5,76,62
2019,1957,PRIVATE,25,5,73,62
2019,1959,PRIVATE,87,4,86,60
2019,1964,PRIVATE,90,5,83,55
2019,1964,PRIVATE,83,5,81,55
2019,1967,PRIVATE,20,5,61,52
2019,1992,SOCIAL HOUSING,133,5,89,27
2019,1954,PRIVATE,29,5,75,65
2019,1956,PRIVATE,12,5,66,63
2019,1958,PRIVATE,10,5,69,61
2019,1965,TCHC,103,1,61,54
2019,1962,PRIVATE,42,5,72,57
2019,1962,PRIVATE,75,5,89,57
2019,1968,PRIVATE,79,4,88,51
2019,1962,PRIVATE,43,5,80,57
2019,1956,PRIVATE,56,5,59,63
2019,1936,PRIVATE,41,5,79,83
2019,1929,PRIVATE,64,5,79,90
2019,1992,SOCIAL HOUSING,102,5,81,27
2019,1968,PRIVATE,91,5,84,51
2019,1964,PRIVATE,101,5,90,55
2019,1968,PRIVATE,169,5,85,51
2019,1956,PRIVATE,11,5,76,63
2019,1956,PRIVATE,11,5,76,63
2019,1969,TCHC,36,4,74,50
2019,1969,TCHC,45,4,75,50
2019,1971,PRIVATE,75,5,78,48
2019,1960,PRIVATE,82,5,79,59
2019,1969,PRIVATE,166,5,75,50
2019,1965,TCHC,161,5,76,54
2019,1959,PRIVATE,70,5,83,60
2019,1975,PRIVATE,11,5,86,44
2019,1929,PRIVATE,46,5,80,90
2019,1929,PRIVATE,46,5,80,90
2019,1955,PRIVATE,272,5,85,64
2019,1972,TCHC,217,5,85,47
2019,1972,TCHC,231,4,78,47
2019,1959,PRIVATE,67,4,74,60
2019,1972,TCHC,421,4,76,47
2019,1960,PRIVATE,115,4,80,59
2019,1972,PRIVATE,52,5,82,47
2019,1969,TCHC,192,5,76,50
2019,1957,PRIVATE,49,5,90,62
2019,1957,PRIVATE,49,5,89,62
2019,1955,PRIVATE,18,5,88,64
2019,1954,PRIVATE,18,5,88,65
2019,1992,TCHC,160,5,88,27
2019,1984,SOCIAL HOUSING,160,5,82,35
2019,1964,PRIVATE,88,5,83,55
2019,1960,PRIVATE,52,3,69,59
2019,1965,PRIVATE,187,5,79,54
2019,1954,PRIVATE,26,5,76,65
2019,1954,PRIVATE,26,5,76,65
2019,1960,PRIVATE,22,5,84,59
2019,1974,PRIVATE,225,5,80,45
2019,1953,PRIVATE,31,5,84,66
2019,1976,PRIVATE,83,5,80,43
2019,1962,PRIVATE,10,5,73,57
2019,1962,PRIVATE,15,5,73,57
2019,1967,PRIVATE,201,5,85,52
2019,1967,PRIVATE,201,4,85,52
2019,1968,PRIVATE,118,4,80,51
2019,1968,PRIVATE,53,5,80,51
2019,1964,PRIVATE,117,5,83,55
2019,1955,PRIVATE,26,5,74,64
2019,1957,PRIVATE,11,5,77,62
2019,1960,PRIVATE,20,5,84,59
2019,1950,PRIVATE,68,5,84,69
2019,1970,PRIVATE,202,5,85,49
2019,1971,PRIVATE,34,5,83,48
2019,1956,PRIVATE,51,5,90,63
2019,1956,PRIVATE,61,5,89,63
2019,1955,PRIVATE,36,5,87,64
2019,1960,PRIVATE,18,5,72,59
2019,1972,PRIVATE,267,4,87,47
2019,1992,SOCIAL HOUSING,111,3,65,27
2019,1932,PRIVATE,21,5,83,87
2019,1937,PRIVATE,20,5,87,82
2019,1937,PRIVATE,13,5,81,82
2019,1974,PRIVATE,169,5,76,45
2019,1964,PRIVATE,65,5,82,55
2019,1970,PRIVATE,24,5,83,49
2019,1954,PRIVATE,30,5,83,65
2019,1972,PRIVATE,280,5,83,47
2019,1980,TCHC,137,5,73,39
2019,1978,PRIVATE,390,5,86,41
2019,1968,PRIVATE,370,4,68,51
2019,1973,PRIVATE,370,4,60,46
2019,1972,PRIVATE,370,2,63,47
2019,1974,PRIVATE,163,5,89,45
2019,1960,PRIVATE,27,5,70,59
2019,1959,PRIVATE,56,5,83,60
2019,2011,PRIVATE,153,5,86,8
2019,2008,TCHC,15,5,66,11
2019,1959,PRIVATE,115,3,67,60
2019,1971,PRIVATE,113,5,69,48
2019,1954,PRIVATE,11,3,67,65
2019,1993,SOCIAL HOUSING,166,3,65,26
2019,1962,TCHC,115,3,81,57
2019,1964,TCHC,168,5,89,55
2019,1966,PRIVATE,90,5,73,53
2019,1972,TCHC,374,3,67,47
2019,1971,TCHC,278,4,69,48
2019,1971,TCHC,278,3,59,48
2019,1964,TCHC,223,2,71,55
2019,1973,PRIVATE,356,5,78,46
2019,1956,PRIVATE,56,5,74,63
2019,1982,TCHC,125,5,79,37
2019,1955,PRIVATE,46,5,72,64
2019,1960,PRIVATE,44,4,74,59
2019,1953,PRIVATE,11,5,73,66
2019,1953,PRIVATE,11,5,72,66
2019,1953,PRIVATE,11,5,69,66
2019,1966,PRIVATE,40,5,68,53
2019,1965,PRIVATE,133,5,80,54
2019,1964,PRIVATE,305,5,83,55
2019,1984,TCHC,176,4,58,35
2019,1960,PRIVATE,93,5,80,59
2019,1960,PRIVATE,97,5,79,59
2019,1963,PRIVATE,57,5,74,56
2019,1963,PRIVATE,57,5,77,56
2019,1971,PRIVATE,118,5,78,48
2019,1971,PRIVATE,118,5,72,48
2019,1973,PRIVATE,97,4,76,46
2019,1975,PRIVATE,291,3,72,44
